"School  Name","Agency","Grades","Neighborhood Cluster","Address","GSF","Capacity","Enrollment SY11-12","Utilization"
"BASIS DC PCS","PCS","5-8","8.0","412 8th Street, NW 20004","42000.0","511.0","445.0","0.87084148728"
"Beers Elementary School","DCPS","PS-5","34.0","3600 Alabama Ave., SE, Washington, DC 20020","77500.0","465.0","386.0","0.830107526882"
"Benjamin Banneker Senior High School","DCPS","9-12","2.0","800 Euclid St., NW, Washington, DC 20001","180000.0","620.0","413.0","0.666129032258"
"Booker T. Washington PCS for the Technical Arts","PCS","9-12","3.0","1346 Florida Ave., NW, Washington, DC 20009","35000.0","368.0","408.0","1.10869565217"
"Brent Elementary School","DCPS","PS-5","26.0","301 North Carolina Ave., SW, Washington, DC 20003","47500.0","325.0","347.0","1.06769230769"
"Bridges PCS","PCS","PS-K","18.0","1250 Taylor Street NW","9830.0","86.0","86.0","1.0"
"Brightwood Education Campus","DCPS","PS-8","18.0","1300 Nicholson St., NW, Washington, DC 20011","86120.0","550.0","549.0","0.998181818182"
"Brookland","DCPS","V","20.0","1150 Michigan Ave., NE","98200.0","332.0","n/a","15"
"Brookland Education Campus at Bunker Hill","DCPS","PS-8","20.0","1401 Michigan Ave., NE, Washington, DC 20017","69400.0","480.0","304.0","0.633333333333"
"Browne Education Campus","DCPS","PS-8","23.0","850 26th St., NE, Washington, DC 20002","215400.0","804.0","384.0","0.477611940299"
"Bruce-Monroe Elementary School at Park View","DCPS","PS-5","2.0","3560 Warder St., NW, Washington, DC 20010","82200.0","450.0","459.0","1.02"
"Burroughs Education Campus","DCPS","PS-8","22.0","1820 Monroe St., NE, Washington, DC 20018","63900.0","450.0","296.0","0.657777777778"
"Burrville Elementary School","DCPS","PS-5","31.0","801 Division Ave., NE, Washington, DC 20019","95000.0","400.0","368.0","0.92"
"C.W. Harris Elementary School","DCPS","PS-5","33.0","301 53rd St., SE, Washington, DC 20019","56000.0","438.0","224.0","0.511415525114"
"Capital City PCS","PCS","PK-12","17.0","100 Peabody St., NW, 2nd Floor, Washington, DC 20011","168000.0","950.0","634.0","0.667368421053"
"Capitol Hill Montessori at Logan","DCPS","PS-5","25.0","215 G St., NE, Washington DC 20002","47200.0","330.0","211.0","0.639393939394"
"Cardozo Senior High School","DCPS","9-12","2.0","1200 Clifton St., NW, Washington, DC 20009","355400.0","1100.0","477.0","0.433636363636"
"Carlos Rosario International PCS","PCS","Ungraded","2.0","1100 Harvard St., NW, Washington, DC 20009","78990.0","2389.0","1808.0","0.756802009209"
"Center City PCS: Brightwood Campus","PCS","PK-8","17.0","6008 Georgia Ave., NW, Washington, DC 20011","37000.0","238.0","231.0","0.970588235294"
"Center City PCS: Capitol Hill Campus","PCS","PK-8","26.0","1503 East Capitol St., SE, Washington, DC 20003","40000.0","265.0","222.0","0.837735849057"
"Center City PCS: Congress Heights Campus","PCS","PK-8","39.0","220 Highview Pl., SE, Washington, DC 20032","27000.0","261.0","244.0","0.934865900383"
"Center City PCS: Petworth Campus","PCS","PK-8","18.0","510 Webster St., NW, Washington, DC 20011","31000.0","241.0","232.0","0.96265560166"
"Center City PCS: Shaw Campus","PCS","PK-8","7.0","711 N St., NW, Washington, DC 20001","29000.0","238.0","237.0","0.995798319328"
"Center City PCS: Trinidad Campus","PCS","PK-8","23.0","1217 West Virginia Ave., NE, Washington, DC 20002","23000.0","249.0","215.0","0.863453815261"
"Cesar Chavez PCS: Bruce Prep Campus","PCS","6-9","2.0","770 Kenyon St., NW, Washington, DC 20009","36059.0","450.0","320.0","0.711111111111"
"Cesar Chavez PCS: Capitol Hill Campus","PCS","9-12","26.0","709 12th St., SE, Washington, DC 20003","40000.0","430.0","392.0","0.911627906977"
"Cesar Chavez PCS: Parkside Campus","PCS","6-12","30.0","3701 Hayes St., NE, Washington, DC 20019","66860.0","1100.0","674.0","0.612727272727"
"Cleveland Elementary School","DCPS","PS-5","3.0","1825 8th St., NW, Washington, DC 20001","53000.0","320.0","301.0","0.940625"
"Columbia Heights Education Campus","DCPS","6-12","2.0","3101 16th St., NW, Washington, DC 20010","325217.0","1400.0","1203.0","0.859285714286"
"Community Academy PCS - Amos I","PCS","PS-5","18.0","1300 Allison St., NW, Washington, DC 20011","50000.0","519.0","461.0","0.888246628131"
"Community Academy PCS - Amos II","PCS","PS-K","18.0","1351 Nicholson St., NW, Washington, DC 20011","55000.0","285.0","137.0","0.480701754386"
"Community Academy PCS - Amos III","PCS","PS-8","21.0","1400 1st St., NW, Washington, DC 20001","140000.0","900.0","488.0","0.542222222222"
"Community Academy PCS - Butler Bilingual","PCS","PS-5","7.0","5 Thomas Circle, NW, Washington, DC 20005","30000.0","300.0","303.0","1.01"
"Community Academy PCS - Online","PCS","PS-8","18.0","1351 Nicholson St., NW, Washington, DC 20011","0.0","195.0","111.0","0.569230769231"
"Community Academy PCS - Rand","PCS","Admin","","","","","",""
"Coolidge Senior High School","DCPS","PS-8","17.0","6315 5th St., NW, Washington, DC 20011","271300.0","1105.0","547.0","0.495022624434"
"Creative Minds PCS","PCS","PS-2","2.0","3324 16th Street, NW 20010","17808.0","105.0","105.0","1.0"
"Davis Elementary School","DCPS","PS-5","33.0","4430 H St., SE. Washington, DC 20019","71100.0","449.0","184.0","0.409799554566"
"DC Bilingual PCS - 14th St","PCS","n/a","2.0","3029 14th Street NW ","12000.0","n/a","n/a","15"
"DC Bilingual PCS - Columbia Heights","PCS","PK-5","2.0","1420 Columbia Rd., NW, Washington, DC 20009","11000.0","339.0","353.0","1.0412979351"
"DC Prep: Benning Campus","PCS","PS-3","32.0","100 41st St., NE, Washington, DC 20019","70090.0","720.0","332.0","0.461111111111"
"DC Prep: Edgewood Elementary Campus","PCS","PK-3","21.0","707 Edgewood St., NE, Washington, DC 20017","50000.0","426.0","410.0","0.962441314554"
"DC Prep: Edgewood Middle Campus","PCS","4-8","21.0","701 Edgewood St., NE, Washington, DC 20017","39746.0","300.0","280.0","0.933333333333"
"DC Scholars","PCS","PS-3","18.0","5601 E Capitol Street, SE 20011","19500.0","200.0","183.0","0.915"
"Deal Middle School","DCPS","7-8","11.0","3815 Fort Dr., NW, Washington, DC 20016","181000.0","1090.0","1014.0","0.930275229358"
"Drew Elementary School","DCPS","PS-5","31.0","5600 Eads St., NE, Washington, DC 20019","72800.0","445.0","181.0","0.406741573034"
"Duke Ellington School of the Arts","DCPS","9-12","4.0","3500 R St., NW, Washington, DC 20007","167500.0","500.0","517.0","1.034"
"Dunbar Senior High School","DCPS","9-12","21.0","1301 New Jersey Ave., NW, Washington, DC 20001","343400.0","1100.0","593.0","0.539090909091"
"E.L. Haynes PCS - Georgia Avenue","PCS","4-8","2.0","3600 Georgia Avenue, NW, Washington DC 20010","46000.0","398.0","394.0","0.989949748744"
"E.L. Haynes PCS - Kansas Avenue","PCS","PS-10","18.0","4501 Kansas Avenue, NW 20011","83000.0","557.0","403.0","0.723518850987"
"Eagle Academy PCS - The Eagle Center at McGoney","PCS","PS-3","39.0","3400 Wheeler Road, SE 20032","86000.0","680.0","450.0","0.661764705882"
"Eagle Academy PCS- New Jersey Avenue","PCS","PS-1","27.0","1017 New Jersey Avenue, SE 20003","12000.0","126.0","160.0","1.26984126984"
"Early Childhood Academy PCS - Johenning Campus","PCS","PS-3","39.0","4301 9th St. SE, Washington, DC 20032","15600.0","250.0","135.0","0.54"
"Early Childhood Academy PCS - Walter Washington Campus","PCS","PS-3","39.0","4301 9th St. SE, Washington, DC 20032","12000.0","250.0","248.0","0.992"
"Eastern Senior High School","DCPS","9-10","26.0","1700 East Capitol St., NE, Washington, DC 20003","288800.0","1100.0","303.0","0.275454545455"
"Eaton Elementary School","DCPS","PK-5","15.0","3301 Lowell St., NW, Washington, DC 20008","49100.0","415.0","457.0","1.10120481928"
"Education Strengthens Families (Esf) PCS","PCS","Ungraded","1.0","2333 Ontario Rd., NW, Washington, DC 20009","9190.0","495.0","395.0","0.79797979798"
"Eliot-Hine Middle School","DCPS","7-8","25.0","1830 Constitution Ave., NE, Washington, DC 20002","155100.0","742.0","348.0","0.469002695418"
"Elsie Whitlow Stokes Community Freedom PCS","PCS","PK-6","20.0","3700 Oakview Terrace, NE, Washington, DC 20010","33000.0","350.0","350.0","1.0"
"Emery","DCPS","V","21.0","1720 1st Street NE","63800.0","438.0","n/a","15"
"Excel Academy PCS","PCS","PS-4","37.0","2501 M. L. King, Jr., Ave., SE, Washington, DC 20020","59000.0","550.0","401.0","0.729090909091"
"Ferebee-Hope Elementary School","DCPS","PS-6","39.0","3999 8th St., SE, Washington, DC 20032","193800.0","400.0","239.0","0.5975"
"Fletcher-Johnson","DCPS","Swing","33.0","4650 Benning Rd., SE, Washington, DC 20019","302000.0","1284.0","n/a","15"
"Francis-Stevens Education Campus","DCPS","PS-8","5.0","2425 N St., NW, Washington, DC 20037","95100.0","410.0","233.0","0.568292682927"
"Friendship PCS - Blow-Pierce Elementary & Middle","PCS","PS-8","25.0","725 19th St., NE, Washington, DC 20002","62994.0","685.0","641.0","0.935766423358"
"Friendship PCS - Chamberlain Elementary & Middle","PCS","PS-8","26.0","1345 Potomac Ave., SE, Washington, DC 20002","80660.0","758.0","765.0","1.0092348285"
"Friendship PCS - Collegiate Academy","PCS","9-12","30.0","4095 Minnesota Ave., NE, Washington, DC 20019","151558.0","1058.0","1110.0","1.04914933837"
"Friendship PCS - Southeast Elementary Academy","PCS","PS-5","39.0","645 Milwaukee Pl., SE, Washington, DC 20032","47000.0","553.0","547.0","0.989150090416"
"Friendship PCS - Woodridge Elementary & Middle","PCS","PS-8","24.0","2959 Carlton Ave., NE, Washington, DC 20018","67600.0","382.0","498.0","1.30366492147"
"Friendship PCS- Technology Preparatory Academy","PCS","6-8","39.0","620 Milwaukee Pl., SE, Washington, DC 20032","21482.0","477.0","378.0","0.792452830189"
"Garfield Elementary School","DCPS","PS-5","36.0","2435 Alabama Ave., SE, Washington, DC 20020","54908.0","365.0","240.0","0.657534246575"
"Garrison Elementary School","DCPS","PS-5","7.0","1200 S St., NW, Washington, DC 20009","60200.0","356.0","237.0","0.665730337079"
"Green","DCPS","Swing","38.0","1500 Mississippi Ave., SE, Washington, DC 20020","77700.0","712.0","n/a","15"
"H.D. Cooke Elementary School","DCPS","PS-5","1.0","2525 17th St., NW, Washington, DC 20001","85709.0","440.0","396.0","0.9"
"H.D. Woodson Senior High School","DCPS"," 9-12","11.0","4650 Benning Rd., SE, Washington, DC 20019","275000.0","1000.0","810.0","0.81"
"Hamilton (Youth Services Center) ","DCPS","1-8","23.0","1401 Brentwood Prkwy., NE, Washington, DC 20002","180700.0","1000.0","67.0","0.067"
"Hardy Middle School","DCPS","6-8","4.0","1819 35th St., NW, Washington, DC 20002","116872.0","650.0","412.0","0.633846153846"
"Hart Middle School","DCPS","6-8","39.0","601 Mississippi Ave., SE, Washington, DC 20032","170000.0","912.0","530.0","0.581140350877"
"Hearst Elementary School","DCPS","PK-5","15.0","3950 37th St., NW, Washington, DC 20008","17400.0","180.0","257.0","1.42777777778"
"Hendley Elementary School","DCPS","PK-6","39.0","425 Chesapeake St., SE, Washington, DC 20032","73200.0","515.0","341.0","0.66213592233"
"Hope Community PCS: Lamond Campus","PCS","PK-8","19.0","6200 Kansas Ave., NE, Washington, DC 20017","76000.0","399.0","407.0","1.02005012531"
"Hope Community PCS: Tolson Campus","PCS","PK-8","21.0","2917 8th St., NE, Washington, DC 20017","0.0","430.0","425.0","0.988372093023"
"Hospitality Senior High PCS","PCS","9-12","18.0","4301 13th St., NW, Washington, DC 20011","30000.0","202.0","196.0","0.970297029703"
"Houston Elementary School","DCPS","PK-5","31.0","1100 50th Pl., NE, Washington, DC 20019","59900.0","398.0","223.0","0.560301507538"
"Howard Road Academy Middle PCS - MLK Ave","PCS","7-8","37.0","2450 M. L. King Jr. Ave., SE, Washington, DC 20020","4500.0","120.0","129.0","1.075"
"Howard Road Academy PCS - Howard Road","PCS","K-6","37.0","701 Howard Rd., SE, Washington, DC 20020","37000.0","600.0","522.0","0.87"
"Howard Road Academy PCS - Penn Ave","PCS","PK-3","34.0","3000 Pennsylvania Ave,. SE, Washington, DC 20020","5600.0","163.0","154.0","0.944785276074"
"Howard University Middle School PCS","PCS","6-8","3.0","405 Howard Pl., NW, Washington, DC, 20059","39600.0","360.0","307.0","0.852777777778"
"Hyde-Addison Elementary School","DCPS","PK-5","4.0","3219 O St., NW, Washington, DC 20007","41329.0","292.0","308.0","1.05479452055"
"IDEA- Integrated Design and Electronic Academy PCS","PCS","7-12","31.0","1027 45th St., NE, Washington, DC 20019","100000.0","302.0","359.0","1.18874172185"
"Ideal Academy PCS","PCS","PK-8","19.0","6130 North Capitol St., NW, Washington, DC 20011","32000.0","281.0","272.0","0.967971530249"
"Imagine Southeast PCS","PCS","PK-6","39.0","3100 Martin Luther King Jr. Ave., SE, Washington, DC ","50000.0","608.0","553.0","0.909539473684"
"Inspired Teaching Demonstration PCS","PCS","PK-4","20.0","1328 Florida Avenue, NW 20009","0.0","550.0","142.0","0.258181818182"
"J.O. Wilson Elementary School","DCPS","PS-5","25.0","660 K St., NE, Washington, DC 20002","98900.0","400.0","382.0","0.955"
"Janney Elementary School","DCPS","PK-5","11.0","4130 Albermarle St., NW, Washington, DC 20016","84400.0","570.0","548.0","0.961403508772"
"Jefferson Middle School","DCPS","6-8","9.0","801 7th St., NW, Washington, DC 20024","109000.0","570.0","263.0","0.461403508772"
"John Hayden Johnson Middle School","DCPS","6-8","38.0","1400 Bruce Pl., SE, Washington, DC 20020","182500.0","1015.0","252.0","0.248275862069"
"Kelly Miller Middle School","DCPS","6-8","31.0","301 49th St., NE, Washington, DC 20019","115000.0","600.0","328.0","0.546666666667"
"Kenilworth Elementary School","DCPS","PS-5","29.0","1300 44th St., NE, Washington, DC 20019","57100.0","402.0","178.0","0.442786069652"
"Ketcham Elementary School","DCPS","PS-5","28.0","1919 15th St., SE, Washington, DC 20020","88300.0","465.0","256.0","0.550537634409"
"Key Elementary School","DCPS","PK-5","13.0","5001 Dana Pl., NW, Washington, DC 20016","50000.0","320.0","386.0","1.20625"
"Kimball Elementary School","DCPS","PS-5","32.0","3375 Minnesota Ave., SE, Washington, DC ","83400.0","398.0","313.0","0.786432160804"
"King Elementary School","DCPS","PS-6","39.0","3200 6th St., SE, Washington, DC 20032","65500.0","517.0","345.0","0.667311411992"
"KIPP DC: AIM, College Prep, Discover, Heights","PCS","PS-12","37.0","2600 DOUGLAS ROAD SE","137000.0","1500.0","1069.0","0.712666666667"
"KIPP DC: Grow, Lead, WILL","PCS","PS-8","7.0","421 P Street, NW, Washington DC","100000.0","1000.0","531.0","0.531"
"KIPP DC: KEY, LEAP, Promise","PCS","PS-8","33.0","4801 Benning Rd., SE, Washington, DC 20019","86000.0","1000.0","1032.0","1.032"
"Kramer Middle School","DCPS","6-8","34.0","1700 Q St., SE, Washington, DC 20020","154000.0","550.0","277.0","0.503636363636"
"Lafayette Elementary School","DCPS","PK-5","10.0","5701 Broad Branch Rd., NW, Washington, DC 20015","113600.0","516.0","707.0","1.37015503876"
"Langdon Education Campus","DCPS","PS-8","22.0","1900 Evarts St., NE, Washington, DC 20018","101400.0","500.0","404.0","0.808"
"Langley Educational Campus","DCPS","PS-8","21.0","101 T Street, NE, Washington, DC 20002","110100.0","530.0","375.0","0.707547169811"
"LaSalle-Backus Education Campus","DCPS","PS-8","19.0","501 Riggs Rd., NE, Washington, DC 20011","63000.0","400.0","290.0","0.725"
"Latin American Montessori Bilingual PCS (LAMB) - Michigan Park Campus","PCS","PS-PK","30.0","1600 Taylor St. NE","8653.0","200.0","184.0","0.92"
"Latin American Montessori Bilingual PCS (LAMB) - Missouri Ave","PCS","PS-5","17.0","1375 Missouri Ave., NW, Washington, DC 20011","21755.0","121.0","79.0","0.652892561983"
"LAYC Career Academy PCS","PCS","Ungraded","2.0","3047 15th Street, NW 20009","15500.0","125.0","121.0","0.968"
"Leckie Elementary School","DCPS","PS-6","44.0","4201 M. L. King Jr. Ave., SW, Washington, DC 20032","65000.0","400.0","361.0","0.9025"
"Ludlow-Taylor Elementary School","DCPS","PS-5","25.0","659 G St., NE, Washington, DC 20002","66900.0","412.0","258.0","0.626213592233"
"Luke C. Moore Academy Senior High School","DCPS","9-12","22.0","1001 Monroe St., NE, Washington, DC 20017","65528.0","350.0","293.0","0.837142857143"
"M.C. Terrell/McGogney Elementary School","DCPS","PS-6","39.0","3301 Wheeler Rd., SE, Washington, DC 20032","112000.0","400.0","211.0","0.5275"
"MacFarland Middle School","DCPS","5-8","18.0","4400 Iowa Ave., NW, Washington, DC 20011","110000.0","610.0","200.0","0.327868852459"
"Malcolm X Elementary School","DCPS","PS-5","38.0","1351 Alabama Ave., SE, Washington, DC 20032","110800.0","520.0","261.0","0.501923076923"
"Mamie D. Lee School","DCPS","PK-12","19.0","100 Gallatin St., NE, Washington, DC 20011","45800.0","300.0","109.0","0.363333333333"
"Mann Elementary School","DCPS","PK-5","13.0","4430 Newark St., NW, Washington, DC 20016","21903.0","270.0","290.0","1.07407407407"
"Marie Reed Elementary School","DCPS","PS-5","1.0","2200 Champlain St., NW, Washington, DC 20009","162700.0","470.0","357.0","0.759574468085"
"Marshall Elementary School","DCPS","PS-5","24.0","3100 Fort Lincoln Dr., NE, Washington, DC 20018","103800.0","480.0","161.0","0.335416666667"
"Mary McLeod Bethune Day Academy PCS","PCS","PS-8","22.0","1404 Jackson St., NE, Washington, DC 20017","24243.0","368.0","327.0","0.888586956522"
"Maury Elementary School","DCPS","PS-5","25.0","1250 Constitution Ave., NE, Washington, DC 20002","46800.0","325.0","292.0","0.898461538462"
"Maya Angelou PCS - Evans Middle","PCS","6-8","33.0","5600 East Capitol St., NE, Washington, DC 20019","37333.0","700.0","210.0","0.3"
"Maya Angelou PCS: Evans High School","PCS","9-12","33.0","5600 East Capitol St., NE, Washington, DC 20019","37333.0","200.0","296.0","1.48"
"Maya Angelou PCS-Young Adult Learning Center","PCS","Ungraded","33.0","5600 East Capitol St., NE, Washington, DC 20019","37333.0","82.0","82.0","1.0"
"McKinley Technology Senior High School","DCPS","9-12","21.0","151 T St., NE, Washington, DC 20002","282000.0","800.0","670.0","0.8375"
"Meridian PCS","PCS","PK-8","3.0","2120 13th  Ave., NW, Washington, DC ","61900.0","622.0","531.0","0.853697749196"
"Meyer","DCPS","Swing","2.0","2501 11th Street, NW","62200.0","736.0","n/a","15"
"Miner Elementary School","DCPS","PS-5","25.0","601 15th St., NE, Washington, DC, 20002","76900.0","550.0","469.0","0.852727272727"
"Moten Elementary School","DCPS","PS-5","37.0","2330 Pomeroy Rd., SE, Washington, DC 20020","99700.0","480.0","315.0","0.65625"
"Mundo Verde PCS","PCS","PS-1","6.0","3220 16th St. NW","22330.0","270.0","122.0","0.451851851852"
"Murch Elementary School","DCPS","PK-5","12.0","4810 36th St., NW, Washington, DC 20008","47700.0","488.0","556.0","1.1393442623"
"Nalle Elementary School","DCPS","PS-5","33.0","219 50th St., SE, Washington, DC 20019","83900.0","400.0","327.0","0.8175"
"National Collegiate Preparatory PCS","PCS","9-11","39.0","908 Wahler Pl., SE, Washington, DC 20032","27000.0","309.0","203.0","0.656957928803"
"Noyes Education Campus","DCPS","PS-8","22.0","2725 10th St., NE, Washington, DC 20018","59400.0","360.0","352.0","0.977777777778"
"Options PCS - Middle  and High School","PCS","7-12","25.0","1375 E St., NE, Washington, DC 20002","61238.0","700.0","359.0","0.512857142857"
"Orr Elementary School","DCPS","PS-5","34.0","2200 Minnesota Ave., SE, Washington, DC 20020","75900.0","337.0","308.0","0.913946587537"
"Oyster-Adams Bilingual School (Adams) (Upper)","DCPS","4-8","1.0","2801 Calvert St., NW, Washington, DC 20008","59400.0","350.0","355.0","1.01428571429"
"Oyster-Adams Bilingual School (Oyster) (Lower)","DCPS","PS-3","15.0","2020 19th St., NW, Washington, DC 20008 ","47984.0","324.0","321.0","0.990740740741"
"Patterson Elementary School","DCPS","PS-6","39.0","4399 South Capitol Terrace, SW, Washington, DC 20032","78300.0","370.0","320.0","0.864864864865"
"Paul PCS","PCS","6-9","17.0","5800 8th St., NW, Washington, DC 20011","128351.0","557.0","592.0","1.06283662478"
"Payne Elementary School","DCPS","PS-5","26.0","305 15th St., SE, Washington, DC 20003","83800.0","417.0","236.0","0.565947242206"
"Peabody Elementary School (Capitol Hill Cluster)","DCPS","PS-K","25.0","425 C St., NE, Washington, DC  20002","37800.0","228.0","234.0","1.02631578947"
"Perry St. Prep PCS (Upper and Lower)","PCS","PK-12","22.0","1800 Perry St. NE","194300.0","1050.0","936.0","0.891428571429"
"Phelps Architecture, Construction, and Engineering Senior High School","DCPS","9-11","23.0","704 26th St., NE, Washington, DC 20002","180000.0","650.0","329.0","0.506153846154"
"Plummer Elementary School","DCPS","PS-5","33.0","4601 Texas Ave., SE, Washington, DC 20019","69400.0","448.0","220.0","0.491071428571"
"Potomac Lighthouse PCS","PCS","PK-5","20.0","4401 8th St., NE, Washington, DC 20017","21000.0","400.0","328.0","0.82"
"Powell Elementary School","DCPS","PS-4","18.0","1350 Upshur St., NW, Washington, DC 20011","38500.0","300.0","310.0","1.03333333333"
"Prospect Learning Center","DCPS","PS-8","25.0","920 F St., NE, Washington, DC 20002","59200.0","350.0","100.0","0.285714285714"
"Randle Highlands Elementary School","DCPS","PS-5","34.0","1650 30th St., SE, Washington, DC 20020","75500.0","450.0","384.0","0.853333333333"
"Raymond Education Campus","DCPS","PS-8","18.0","915 Spring Rd., NW, Washington, DC 20010","73600.0","465.0","442.0","0.950537634409"
"Richard Wright PCS","PCS","8-9","32.0","100 41st Street, NE, Washington","28000.0","202.0","125.0","0.618811881188"
"River Terrace Elementary School","DCPS","PS-5","32.0","420 34th St., NE, Washington, DC 20019","62800.0","281.0","n/a","15"
"Ronald H. Brown Middle School","DCPS","6-8","31.0","4800 Meade St., NE, Washington, DC 20019 ","156000.0","892.0","230.0","0.257847533632"
"Roosevelt Senior High School","DCPS","9-12","18.0","4301 13th St., NW, Washington, DC 20011","331900.0","1059.0","994.0","0.938621340888"
"Roots PCS","PCS","PS-8","17.0","15 Kennedy St., NW, Washington, DC 20011","19687.0","70.0","120.0","1.71428571429"
"Ross Elementary School","DCPS","PK-5","6.0","1730 R St., NW, Washington, DC 20009","22400.0","150.0","157.0","1.04666666667"
"Savoy Elementary School","DCPS","PS-5","37.0","2400 Shannon Pl., SE, Washington, DC 20020","99975.0","425.0","344.0","0.809411764706"
"School for Educational Evolution and Development (SEED) PCS","PCS","6-12","32.0","4300 C St., SE, Washington, DC 20019","163000.0","340.0","340.0","1.0"
"School Without Walls Senior High School","DCPS","9-12","5.0","2130 G St., NW, Washington, DC 20037","74000.0","440.0","527.0","1.19772727273"
"School-Within-A-School at Logan Annex","DCPS","PS-1","25.0","215 G St., NE, Washington DC 20002","7760.0","n/a","84.0","15"
"Seaton Elementary School","DCPS","PS-5","7.0","1503 10th St., NW, Washington, DC 20001","65000.0","325.0","265.0","0.815384615385"
"Septima Clark PCS","PCS","PS-5","37.0","2501 M. L. King, Jr., Ave., SE, Washington, DC 20020","28000.0","250.0","227.0","0.908"
"Shaed Education Campus","DCPS","PS-8","21.0","301 Douglas St., NE, Washington, DC 20002","67200.0","352.0","n/a","15"
"Sharpe Health School","DCPS","PK-12","18.0","4300 13th St., NW, Washington, DC 20011","80500.0","400.0","89.0","0.2225"
"Shaw Junior High School","DCPS","Admin","7.0","925 Rhode Island Ave, NW","230400.0","1000.0","n/a","15"
"Shaw Middle School at Garnet-Patterson","DCPS","6-8","3.0","2001 10th St., NW, Washington, DC 20001","82700.0","480.0","154.0","0.320833333333"
"Shepherd Elementary School","DCPS","PK-5","16.0","7800 14th St., NW, Washington, DC 20012","79700.0","342.0","331.0","0.96783625731"
"Shining Stars Montessori Academy PCS","PCS","PS-PK","2.0","1328 Florida Av. NW","7554.0","120.0","53.0","0.441666666667"
"Simon Elementary School","DCPS","PS-6","39.0","401 Mississippi Ave., SE, Washington, DC 20032","66200.0","325.0","252.0","0.775384615385"
"Smothers Elementary School","DCPS","PS-5","30.0","4400 Brooks St., NW, Washington, DC 20019","43000.0","344.0","242.0","0.703488372093"
"Sousa Middle School","DCPS","6-8","32.0","3650 Ely Pl., SE, Washington, DC 20019","132000.0","636.0","348.0","0.547169811321"
"Spingarn Senior High School","DCPS","9-12","23.0","2500 Benning Rd., NE, Washington, DC 20002","225000.0","910.0","612.0","0.672527472527"
"St. Coletta Special Education PCS","PCS","PK-12","26.0","1901 Independence Ave., SE, Washington, DC 20003","99540.0","287.0","234.0","0.815331010453"
"Stanton Elementary School","DCPS","PS-5","36.0","2701 Naylor Rd., SE, Washington, DC 20020","83792.0","500.0","355.0","0.71"
"Stoddert Elementary School","DCPS","PK-5","14.0","4001 Calvert St., NW, Washington, DC 20007","64750.0","320.0","347.0","1.084375"
"Stuart-Hobson Middle School (Capitol Hill Cluster)","DCPS","5-8","25.0","410 E St., NE, Washington, DC 20002 ","99325.0","410.0","403.0","0.982926829268"
"Takoma Education Campus","DCPS","PS-8","17.0","7010 Piney Branch Rd., NW, Washington, DC 20012","104294.0","450.0","306.0","0.68"
"The Next Step - El Proximo Paso PCS","PCS","9-12","2.0","3047 15th Street, NW 20009","15500.0","200.0","158.0","0.79"
"Thomas Elementary School","DCPS","PS-5","30.0","650 Anacostia Ave., NE, Washington, DC 20019","87600.0","400.0","235.0","0.5875"
"Thomson Elementary School","DCPS","PS-5","8.0","1200 L St., NW, Washington, DC 20005","74992.0","320.0","327.0","1.021875"
