2011-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
School Code,LEA Name,Cluster,NBH_NAMES,SchoolName,StreetAddr,ZIP_code,MAR_cluster,School  Name,Neighborhood Cluster,Address,GSF,Capacity,Enrollment SY11-12,Utilization,Lat,Long,School ID,1112Math Tested,1112Math BelowBasic,1112Math Basic,1112Math Proficient,1112Math Advanced,1112Reading Tested,1112Reading BelowBasic,1112Reading Basic,1112Reading Proficient,1112Reading Advanced,2011 Adjusted Cohort Grad Rate,OSSE Code,Name,Total Enrolled 2012,PK3,PK4,KG,1,2,3,4,5,6,7,8,9,10,11,12,AO,UN,ELL,Level 1,Level 2,Level 3,Level 4,Ward,Name,Total Enrolled 2012,PK3,PK4,KG,1,2,3,4,5,6,7,8,9,10,11,12,AO,UN,ELL,Level 1,Level 2,Level 3,Level 4,Name of School,PCS or DCPS,Bubdgt Org 4,Year,School No,DC Funding Allocation,Federal Revenue,INTRADISTRICT FUNDS,SPECIAL PURPOSE REVENUE FUNDS,Total Government Revenue,Donations,Fees and Other,Other Revenue,Total Revenue,School Code,School Name,Grade,Subgroup,MValid Tests (n),MBelow Basic (n),MBasic (n),MProficient (n),MAdvanced (n),MPercent Proficient (% Proficient & Advanced),MWeighted,RValid Tests (n),RBelow Basic (n),RBasic (n),RProficient (n),RAdvanced (n),RPercent Proficient (% Proficient & Advanced),RWeighted
116,KIPP Academy PCS,Cluster 37,"Sheridan, Barry Farm, Buena Vista",KIPP DC - Aim Academy,"2600 Douglass Rd SE Washington, DC",20020,Cluster 37,KIPP DC AIM PCS Academy PCS,37,"2600 DOUGLAS ROAD SE, Washington, DC",137000,1500,1069,0.712666667,38.857196,-76.987425,116,307,0.022801303,0.127035831,0.534201954,0.315960912,307,0.058631922,0.348534202,0.508143322,0.084690554,,116,KIPP DC AIM ACADEMY,330,,,,,,,,92,90,75,73,,,,,,,1,3,24,25,4,8,KIPP DC AIM PCS Academy PCS,330,,,,,,,,89,88,82,71,,,,,,,1,7,18,29,2,KIPP DC and Affiliates,PCS,,2013,116,49927458.54,7211060,,,57138518.54,5437510,581812,6019322,63157840.54,0116,KIPP DC AIM PCS ACADEMY PCS,All Grades,All Students,314,12,58,124,120,0.777070064,3.121019108,314,21,111,151,31,0.579617834,2.611464968
117,Potomac Lighthouse PCS,Cluster 20,"North Michigan Park, Michigan Park, University Heights",Potomac Lighthouse PCS,"4401 8th Street NE Washington, DC",20017,Cluster 20,Potomac Lighthouse PCS,20,"4401 8th St., NE, Washington, DC 20017",21000,400,328,0.82,38.942729,-76.994626,117,111,0.135135135,0.351351351,0.342342342,0.171171171,111,0.135135135,0.36036036,0.477477477,0.027027027,,117,POTOMAC LIGHTHOUSE,328,45,47,42,47,24,27,41,33,22,,,,,,,,,,8,14,4,1,5,Potomac Lighthouse PCS,397,50,48,52,35,52,32,35,45,25,23,,,,,,,,,8,11,2,1,Potomac Lighthouse Public Charter School,PCS,,2013,117,5904389.109,539451.8312,,,6443840.94,3041,38047,41088,6484928.94,0117,POTOMAC LIGHTHOUSE PCS,All Grades,All Students,142,19,53,53,17,0.492957746,2.478873239,142,28,51,57,6,0.443661972,2.288732394
121,KIPP Academy PCS,Cluster 7,"Shaw, Logan Circle",KIPP DC - Will Academy,"421 P St NW Washington, DC",20001,Cluster 7,,,,,,,,,,121,313,0.07028754,0.261980831,0.466453674,0.201277955,313,0.063897764,0.38658147,0.440894569,0.108626198,,121,KIPP DC WILL ACADEMY,328,,,,,,,,84,87,85,72,,,,,,,1,14,23,9,4,2,KIPP DC WILL Academy PCS,337,,,,,,,28,71,82,77,79,,,,,,,,15,29,10,4,,PCS,,,,,,,,,,,,,0121,KIPP DC WILL ACADEMY PCS,All Grades,All Students,322,8,62,133,119,0.782608696,3.127329193,321,15,107,169,30,0.619937695,2.666666667
123,Septima Clark PCS,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",Septima Clark PCS,"2501 Martin Luther King Jr. SE Washington, DC",20020,Cluster 37,Septima Clark PCS,37,"2501 M. L. King, Jr., Ave., SE, Washington, DC 20020",28000,250,227,0.908,38.86145,-76.99384,123,48,0.25,0.395833333,0.354166667,0,48,0.25,0.416666667,0.291666667,0.041666667,,123,SEPTIMA CLARK,227,41,42,43,28,24,17,17,15,,,,,,,,,,,11,7,1,,8,Septima Clark PCS,230,42,44,42,34,21,16,9,12,10,,,,,,,,,,10,7,4,3,Septima Clark Public Charter School,PCS,,2013,123,3570130.626,329166,,,3899296.626,361500,255760,617260,4516556.626,0123,SEPTIMA CLARK PCS,All Grades,All Students,46,8,25,12,1,0.282608696,2.130434783,46,10,23,12,1,0.282608696,2.086956522
125,Washington Latin PCS,Cluster 18,"Brightwood Park, Crestwood, Petworth",Washington Latin Middle PCS,"4115 16th St Nw Washington, DC",20011,Cluster 18,Washington Latin PCS: Middle School Campus (Decatur),18,"4115 16th St., NW, Washington, DC 20011",13658,325,349,1.073846154,38.941005,-77.036391,125,340,0.032352941,0.197058824,0.458823529,0.311764706,340,0.011764706,0.182352941,0.479411765,0.326470588,,125,WASHINGTON LATIN PCS MIDDLE,349,,,,,,,,84,87,88,90,,,,,,,7,18,3,,,4,Washington Latin PCS MS,353,,,,,,,,84,88,90,91,,,,,,,5,16,3,4,,,PCS,,,,,,,,,,,,,0125,WASHINGTON LATIN PCS MS,All Grades,All Students,347,9,67,148,123,0.780979827,3.109510086,348,10,60,196,82,0.798850575,3.005747126
126,Education Strengthens Families PCS,Cluster 1,"Kalorama Heights, Adams Morgan, Lanier Heights",Briya PCS / Education Strengthens Families,"2333 Ontario Rd NW Washington, DC",20009,Cluster 1,Education Strengthens Families (Esf) PCS,1,"2333 Ontario Rd., NW, Washington, DC 20009",9190,495,395,0.797979798,38.920976,-77.040072,,,,,,,,,,,,,126,EDUCATION STRENGTHENS FAMILIES,395,35,8,,,,,,,,,,,,,,352,,74,7,,,,1,Education Strengthens Families ESF PCS,436,32,10,,,,,,,,,,,,,,394,,50,5,,,,Education Strengthens Families Public Charter School ,PCS,,2013,126,5031803.772,66200,,,5098003.772,79824,55245,135069,5233072.772,,,,,,,,,,,,,,,,,,
127,Cesar Chavez Public PCS,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Cesar Chavez PCS Bruce Prep Campus,"770 Kenyon St NW Washington, DC",20010,Cluster 2,Cesar Chavez PCS: Bruce Prep Campus,2,"770 Kenyon St., NW, Washington, DC 20009",36059,450,320,0.711111111,38.92999,-77.024226,127,236,0.046610169,0.224576271,0.508474576,0.220338983,234,0.08974359,0.435897436,0.418803419,0.055555556,,127,CESAR CHAVEZ PCS BRUCE PREP,320,,,,,,,,,94,89,88,49,,,,,,130,3,25,6,2,1,Cesar Chavez PCS Chavez Prep,318,,,,,,,,,96,87,73,62,,,,,,126,11,21,3,,,PCS,,,,,,,,,,,,,0127,CESAR CHAVEZ PCS CHAVEZ PREP,All Grades,All Students,246,5,49,134,58,0.780487805,2.995934959,245,13,102,113,17,0.530612245,2.546938776
128,YouthBuild PCS,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Youth Build PCS (LAYC),"3014 14th St NW Washington, DC",20009,Cluster 2,YouthBuild LAYC PCS,2,"3014 14th Street, NW 20009",n/a,121,105,0.867768595,38.92777,-77.032551,,,,,,,,,,,,,128,LAYC YOUTH BUILD,105,,,,,,,,,,,,,,,,,105,2,1,,,1,1,Youth Build LAYC PCS,116,,,,,,,,,,,,,,,,,116,34,5,3,2,5,,PCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,D.C. Preparatory Academy PCS,Cluster 21,"Edgewood, Bloomingdale, Truxton Circle, Eckington",D.C. Preparatory Academy - Edgewood Elementary Pcs,"707 Edgewood St NE Washington, DC",20017,Cluster 21,DC Prep: Edgewood Elementary Campus,21,"707 Edgewood St., NE, Washington, DC 20017",50000,426,410,0.962441315,38.92421,-76.99589,130,63,0.031746032,0.238095238,0.444444444,0.285714286,63,0.047619048,0.19047619,0.761904762,0,,130,DC PREP  EDGEWOOD ELEMENTARY,410,74,65,70,67,66,68,,,,,,,,,,,,26,8,6,2,,5,DC  Preparatory Edgewood Elementary  PCS,420,72,65,78,69,64,72,,,,,,,,,,,,6,17,11,1,1,,PCS,,,,,,,,,,,,,0130,D C  PREPARATORY EDGEWOOD ELEMENTARY CAMPUS PCS,All Grades,All Students,71,3,14,43,11,0.76056338,2.873239437,71,6,17,43,5,0.676056338,2.661971831
131,Hope Community Academy PCS,Cluster 19,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",Hope Community PCS - Lamond,"6200 Kansas Ave NE Washington, DC",20011,Cluster 19,Hope Community PCS: Lamond Campus,19,"6200 Kansas Ave., NE, Washington, DC 20017",76000,399,407,1.020050125,38.965615,-77.008266,131,68,0.029411765,0.441176471,0.338235294,0.191176471,68,0.073529412,0.426470588,0.485294118,0.014705882,,131,HOPE COMMUNITY LAMOND,407,71,92,76,54,41,23,27,16,7,,,,,,,,,,8,13,5,2,4,Hope Community PCS Lamond Campus,392,70,73,78,55,45,32,16,15,8,,,,,,,,,13,11,14,4,2,,PCS,,,,,,,,,,,,,0131,HOPE COMMUNITY PCS LAMOND CAMPUS,All Grades,All Students,70,11,33,24,2,0.371428571,2.242857143,70,8,34,28,0,0.4,2.285714286
132,KIPP Academy PCS,Cluster 33,"Capitol View, Marshall Heights, Benning Heights",KIPP DC - LEAP Academy,"4801 Benning Road SE Washington, DC",20019,Cluster 33,,,,,,,,,,,,,,,,,,,,,,132,KIPP DC LEAP PCS,304,102,100,102,,,,,,,,,,,,,,,,21,2,,,7,KIPP DC LEAP Academy PCS,302,100,101,101,,,,,,,,,,,,,,,2,16,4,,,,PCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Maya Angelou PCS,Cluster 33,"Capitol View, Marshall Heights, Benning Heights",Maya Angelou - Lower (Middle School Campus),"5600 East Capitol St NE Washington, DC",20019,Cluster 33,Maya Angelou PCS - Evans Middle,33,"5600 East Capitol St., NE, Washington, DC 20019",37333,700,210,0.3,38.889828,-76.921256,133,192,0.28125,0.4375,0.276041667,0.005208333,191,0.214659686,0.497382199,0.272251309,0.015706806,,133,MAYA ANGELOU EVANS LOWER,210,,,,,,,,,63,69,78,,,,,,,,2,5,41,7,7,Maya Angelou Middle Campus PCS,196,,,,,,,,,56,73,67,,,,,,,,10,11,25,9,Maya Angelou Public Charter School,PCS,,2013,133,11083570.99,674016,,,11757586.99,0,0,0,11757586.99,0133,MAYA ANGELOU MIDDLE CAMPUS PCS,All Grades,All Students,170,40,66,61,3,0.376470588,2.158823529,170,24,84,56,6,0.364705882,2.258823529
134,Ideal Academy PCS,Cluster 19,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",Ideal Academy PCS - North Capitol Street Campus  ,"6130 North Capitol St NW Washington, DC",20011,Cluster 19,Ideal Academy PCS,19,"6130 North Capitol St., NW, Washington, DC 20011",32000,281,272,0.96797153,38.965277,-77.009084,134,117,0.153846154,0.47008547,0.341880342,0.034188034,117,0.162393162,0.401709402,0.41025641,0.025641026,0.6857,134,IDEAL ACADEMY,272,21,45,28,25,26,18,19,33,17,17,23,,,,,,,11,14,6,,,4,Ideal Academy PCS ,280,33,41,38,28,29,26,17,17,20,13,18,,,,,,,9,15,4,2,,Ideal Academy Public Charter School  (FY2011 data),PCS,,2013,134,5074455.366,938101,,,6012556.366,110000,18403,128403,6140959.366,0134,IDEAL ACADEMY PCS   NORTH CAPITOL STREET CAMPUS ES,All Grades,All Students,96,16,32,39,9,0.5,2.427083333,96,12,36,42,6,0.5,2.4375
135,Mary McLeod Bethune  PCS,Cluster 22,"Brookland, Brentwood, Langdon",Mary McLeod Bethune PCS,"1404 Jackson St NE Washington, DC",20772,Cluster 22,Mary McLeod Bethune Day Academy PCS,22,"1404 Jackson St., NE, Washington, DC 20017",24243,368,327,0.888586957,38.929822,-76.985858,135,142,0.154929577,0.478873239,0.330985915,0.035211268,142,0.197183099,0.401408451,0.387323944,0.014084507,,135,MARY MCLEOD BETHUNE,327,44,35,37,30,30,32,32,33,21,19,14,,,,,,,,17,20,4,1,5,Mary McLeod Bethune Day Academy PCS ,366,36,57,42,30,41,30,37,28,32,17,16,,,,,,,15,9,26,9,1,Mary McLeod Bethune Day Academy Public Charter School,PCS,,2013,135,5556367.532,497892,,,6054259.532,0,7000,7000,6061259.532,0135,MARY MCLEOD BETHUNE DAY ACADEMY PCS SLOWE CAMPUS,All Grades,All Students,155,19,60,70,6,0.490322581,2.406451613,154,20,68,61,5,0.428571429,2.331168831
138,Early Childhood Academy PCS,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",Early Childhood Academy PCS (Johenning Campus),"4301 9th St SE Washington, DC",20032,Cluster 39,Early Childhood Academy PCS - Johenning Campus,39,"4301 9th St. SE, Washington, DC 20032",15600,250,135,0.54,38.831505,-76.989835,,,,,,,,,,,,,138,,,,,,,,,,,,,,,,,,,,,,,,,8,Early Childhood Academy PCS-Johenning,135,13,,44,42,36,,,,,,,,,,,,,,9,6,,,,PCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Apple Tree Early Learning PCS,Cluster 9,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",AppleTree Early Learning - Amidon,"401 I St SW  Washington, DC",20024,Cluster 9,AppleTree Early Learning PCS - Amidon ,9,"401 I Street, SW 20024",2200,160,41,0.25625,38.879278,-77.01769,,,,,,,,,,,,,139,APPLETREE EARLY LEARNING AMIDON,41,41,,,,,,,,,,,,,,,,,7,1,1,,1,6,AppleTree PCS Amidon,44,44,,,,,,,,,,,,,,,,,4,,,,,Appletree Early Learning Public Charter School,PCS,,2013,139,10814503.38,384273,,,11198776.38,277800,440250,718050,11916826.38,,,,,,,,,,,,,,,,,,
140,Apple Tree Early Learning PCS,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",AppleTree Early Learning - Columbia Heights,"2750 14th Street, NW Washington, DC",20009,Cluster 2,AppleTree Early Learning PCS - Columbia Heights,2,"2750 14th Street, NW 20009",12204,160,158,0.9875,38.924845,-77.032224,,,,,,,,,,,,,140,APPLETREE EARLY LEARNING COLUMBIA HGHTS,158,106,52,,,,,,,,,,,,,,,,40,5,2,,1,1,AppleTree PCS Columbia Heights,161,100,61,,,,,,,,,,,,,,,,47,6,2,,2,,PCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Apple Tree Early Learning PCS,Cluster 8,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",AppleTree Early Learning - Riverside,"680 I Street, SW Washington, DC",20024,Cluster 9,AppleTree Early Learning PCS - Riverside ,9,"680 I Street, SW 20024",3600,160,40,0.25,38.879268,-77.02055,,,,,,,,,,,,,141,APPLETREE EARLY LEARNING RIVERSIDE,40,,40,,,,,,,,,,,,,,,,1,,,,1,6,AppleTree PCS Riverside,40,,40,,,,,,,,,,,,,,,,7,1,1,,1,,PCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Bridges PCS,Cluster 18,"Brightwood Park, Crestwood, Petworth",Bridges,"1250 Taylor St NW Washington, DC",20011,Cluster 18,Bridges PCS,18,"1250 Taylor Street NW, Washington, DC",9830,86,86,1,38.940787,-77.028243,,,,,,,,,,,,,142,BRIDGES,86,56,30,,,,,,,,,,,,,,,,34,5,4,1,11,4,Bridges PCS,143,67,49,27,,,,,,,,,,,,,,,66,13,6,,15,"Bridges Public Charter School, Inc.",PCS,,2013,142,3206756.355,94315,,,3301071.355,20000,87606,107606,3408677.355,,,,,,,,,,,,,,,,,,
146,E.L. Haynes PCS,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",E.L Haynes - Georgia Ave Campus,"3600 Georgia Ave NW Washington, DC",20010,Cluster 2,E.L. Haynes PCS - Georgia Avenue,2,"3600 Georgia Avenue, NW, Washington DC 20010",46000,398,394,0.989949749,38.934233,-77.023995,146,383,0.070496084,0.27154047,0.472584856,0.18537859,384,0.119791667,0.291666667,0.489583333,0.098958333,,146,EL HAYNES PCS  GEORGIA AVE CAMPUS,394,,,,,,50,52,53,91,97,51,,,,,,,67,21,30,16,9,1,E L  Haynes PCS Georgia Avenue,395,,,,,,,50,50,101,99,95,,,,,,,82,14,13,20,35,"Euphemia L. Haynes Public Charter School, Inc. and Subsidiaries",PCS,,2013,146,16889805.55,0,,,16889805.55,,,0,16889805.55,0146,E L  HAYNES PCS GEORGIA AVENUE,All Grades,All Students,376,31,103,171,71,0.643617021,2.75,370,27,119,183,41,0.605405405,2.643243243
151,Booker T. Washington PCS,Cluster 3,"Howard University, Le Droit Park, Cardozo/Shaw",Booker T. Washington Evening,"1346 Florida Ave NW Washington, DC",20009,Cluster 3,Booker T. Washington PCS for the Technical Arts,3,"1346 Florida Ave., NW, Washington, DC 20009",35000,368,408,1.108695652,38.920293,-77.030718,151,38,0.473684211,0.315789474,0.210526316,0,38,0.184210526,0.5,0.263157895,0.052631579,0.8605,151,BOOKER T WASHINGTON EVENING,34,,,,,,,,,,,,64,49,49,54,1,,,8,21,6,5,1,Booker T  Washington PCS,362,,,,,,,,,,,,69,49,44,45,155,,13,10,20,11,6,"Booker T. Washington Public Charter School, Inc.",PCS,,2013,151,5433144.418,392000,,,5825144.418,20000,70000,90000,5915144.418,0151,BOOKER T  WASHINGTON PCS,All Grades,All Students,40,14,19,7,0,0.175,1.825,40,9,24,6,1,0.175,1.975
